Version="2.0"
numberBins=-1
binSize=10000
cirKey,startRecNo,endRecNo,min,max
current:vio_1v8:tl,150000,159999,-981.0,467.0
power:vio_1v8:tl,150000,159999,-1.0,3.0
current:3.3v:tl,150000,159999,-575.0,442.0
voltage:3.3v:tl,150000,159999,11.0,18.0
power:tot:tl,150000,159999,-9.0,7.0
power:3.3v:tl,150000,159999,-9.0,6.0
voltage:vio_1v8:tl,160000,169999,-5.0,0.0
current:vio_1v8:tl,160000,169999,-950.0,487.0
power:vio_1v8:tl,160000,169999,-1.0,2.0
current:3.3v:tl,160000,169999,-561.0,462.0
voltage:3.3v:tl,160000,169999,11.0,20.0
power:tot:tl,160000,169999,-8.0,7.0
power:3.3v:tl,160000,169999,-8.0,6.0
voltage:vio_1v8:tl,170000,179999,-5.0,0.0
current:vio_1v8:tl,170000,179999,-905.0,530.0
power:vio_1v8:tl,170000,179999,-1.0,2.0
current:3.3v:tl,170000,179999,-567.0,462.0
voltage:3.3v:tl,170000,179999,13.0,20.0
power:tot:tl,170000,179999,-10.0,7.0
power:3.3v:tl,170000,179999,-10.0,6.0
voltage:vio_1v8:tl,180000,189999,-5.0,0.0
current:vio_1v8:tl,180000,189999,-940.0,500.0
power:vio_1v8:tl,180000,189999,-1.0,2.0
current:3.3v:tl,180000,189999,-564.0,499.0
voltage:3.3v:tl,180000,189999,13.0,20.0
power:tot:tl,180000,189999,-10.0,8.0
power:3.3v:tl,180000,189999,-10.0,7.0
voltage:vio_1v8:tl,190000,199999,-5.0,0.0
current:vio_1v8:tl,190000,199999,-1003.0,514.0
power:vio_1v8:tl,190000,199999,-1.0,2.0
current:3.3v:tl,190000,199999,-578.0,462.0
voltage:3.3v:tl,190000,199999,13.0,20.0
power:tot:tl,190000,199999,-11.0,7.0
power:3.3v:tl,190000,199999,-11.0,7.0
voltage:vio_1v8:tl,200000,209999,-5.0,0.0
current:vio_1v8:tl,200000,209999,-973.0,477.0
power:vio_1v8:tl,200000,209999,-1.0,3.0
current:3.3v:tl,200000,209999,-557.0,485.0
voltage:3.3v:tl,200000,209999,15.0,20.0
power:tot:tl,200000,209999,-10.0,8.0
power:3.3v:tl,200000,209999,-10.0,8.0
voltage:vio_1v8:tl,210000,219999,-5.0,0.0
current:vio_1v8:tl,210000,219999,-938.0,500.0
power:vio_1v8:tl,210000,219999,-1.0,2.0
current:3.3v:tl,210000,219999,-564.0,426.0
voltage:3.3v:tl,210000,219999,15.0,21.0
power:tot:tl,210000,219999,-10.0,8.0
power:3.3v:tl,210000,219999,-10.0,8.0
voltage:vio_1v8:tl,220000,229999,-5.0,0.0
current:vio_1v8:tl,220000,229999,-960.0,493.0
power:vio_1v8:tl,220000,229999,-1.0,3.0
current:3.3v:tl,220000,229999,-554.0,462.0
voltage:3.3v:tl,220000,229999,15.0,22.0
power:tot:tl,220000,229999,-11.0,9.0
power:3.3v:tl,220000,229999,-11.0,8.0
voltage:vio_1v8:tl,230000,239999,-5.0,0.0
current:vio_1v8:tl,230000,239999,-1010.0,475.0
power:vio_1v8:tl,230000,239999,-1.0,3.0
current:3.3v:tl,230000,239999,-551.0,462.0
voltage:3.3v:tl,230000,239999,15.0,22.0
power:tot:tl,230000,239999,-11.0,9.0
power:3.3v:tl,230000,239999,-11.0,9.0
voltage:vio_1v8:tl,240000,249999,-5.0,0.0
current:vio_1v8:tl,240000,249999,-979.0,510.0
power:vio_1v8:tl,240000,249999,-1.0,2.0
current:3.3v:tl,240000,249999,-564.0,462.0
voltage:3.3v:tl,240000,249999,15.0,23.0
power:tot:tl,240000,249999,-11.0,9.0
power:3.3v:tl,240000,249999,-11.0,9.0
voltage:vio_1v8:tl,250000,259999,-5.0,0.0
current:vio_1v8:tl,250000,259999,-1016.0,490.0
power:vio_1v8:tl,250000,259999,-1.0,2.0
current:3.3v:tl,250000,259999,-546.0,458.0
voltage:3.3v:tl,250000,259999,18.0,23.0
power:tot:tl,250000,259999,-11.0,10.0
power:3.3v:tl,250000,259999,-11.0,9.0
voltage:vio_1v8:tl,260000,269999,-5.0,0.0
current:vio_1v8:tl,260000,269999,-929.0,480.0
power:vio_1v8:tl,260000,269999,-1.0,3.0
current:3.3v:tl,260000,269999,-547.0,462.0
voltage:3.3v:tl,260000,269999,18.0,24.0
power:tot:tl,260000,269999,-12.0,10.0
power:3.3v:tl,260000,269999,-12.0,9.0
voltage:vio_1v8:tl,270000,279999,-5.0,0.0
current:vio_1v8:tl,270000,279999,-944.0,477.0
power:vio_1v8:tl,270000,279999,-1.0,2.0
current:3.3v:tl,270000,279999,-552.0,462.0
voltage:3.3v:tl,270000,279999,19.0,24.0
power:tot:tl,270000,279999,-12.0,10.0
power:3.3v:tl,270000,279999,-12.0,9.0
voltage:vio_1v8:tl,280000,289999,-5.0,0.0
current:vio_1v8:tl,280000,289999,-906.0,475.0
power:vio_1v8:tl,280000,289999,-1.0,2.0
current:3.3v:tl,280000,289999,-545.0,439.0
voltage:3.3v:tl,280000,289999,19.0,25.0
power:tot:tl,280000,289999,-12.0,9.0
power:3.3v:tl,280000,289999,-12.0,9.0
voltage:vio_1v8:tl,290000,299999,-5.0,0.0
current:vio_1v8:tl,290000,299999,-993.0,493.0
power:vio_1v8:tl,290000,299999,-1.0,2.0
current:3.3v:tl,290000,299999,-554.0,476.0
voltage:3.3v:tl,290000,299999,20.0,24.0
power:tot:tl,290000,299999,-13.0,11.0
power:3.3v:tl,290000,299999,-13.0,10.0
voltage:vio_1v8:tl,300000,309999,-5.0,0.0
current:vio_1v8:tl,300000,309999,-990.0,510.0
power:vio_1v8:tl,300000,309999,-1.0,2.0
current:3.3v:tl,300000,309999,-554.0,462.0
voltage:3.3v:tl,300000,309999,20.0,27.0
power:tot:tl,300000,309999,-13.0,11.0
power:3.3v:tl,300000,309999,-13.0,10.0
voltage:vio_1v8:tl,310000,319999,-5.0,0.0
current:vio_1v8:tl,310000,319999,-1010.0,470.0
power:vio_1v8:tl,310000,319999,-1.0,2.0
current:3.3v:tl,310000,319999,-546.0,455.0
voltage:3.3v:tl,310000,319999,20.0,27.0
power:tot:tl,310000,319999,-13.0,11.0
power:3.3v:tl,310000,319999,-13.0,10.0
voltage:vio_1v8:tl,320000,329999,-5.0,0.0
current:vio_1v8:tl,320000,329999,-997.0,490.0
power:vio_1v8:tl,320000,329999,-1.0,3.0
current:3.3v:tl,320000,329999,-571.0,465.0
voltage:3.3v:tl,320000,329999,20.0,27.0
power:tot:tl,320000,329999,-13.0,10.0
power:3.3v:tl,320000,329999,-13.0,10.0
voltage:vio_1v8:tl,330000,339999,-5.0,0.0
current:vio_1v8:tl,330000,339999,-986.0,524.0
power:vio_1v8:tl,330000,339999,-1.0,2.0
current:3.3v:tl,330000,339999,-570.0,482.0
voltage:3.3v:tl,330000,339999,21.0,28.0
power:tot:tl,330000,339999,-13.0,12.0
power:3.3v:tl,330000,339999,-13.0,11.0
voltage:vio_1v8:tl,340000,349999,-5.0,0.0
current:vio_1v8:tl,340000,349999,-946.0,480.0
power:vio_1v8:tl,340000,349999,-1.0,2.0
current:3.3v:tl,340000,349999,-561.0,462.0
voltage:3.3v:tl,340000,349999,22.0,29.0
power:tot:tl,340000,349999,-14.0,12.0
power:3.3v:tl,340000,349999,-14.0,11.0
voltage:vio_1v8:tl,350000,359999,-5.0,0.0
