"Time mS","Rate Flow mL/s","Total Volume L"
0,0.0,0
1,0.0,0.000847
66917,0.0,0.000847
66952,24.91176470588235,0.001694
67028,11.144736842105264,0.002541
67029,0.0,0.003388
69739,0.0,0.003388
69741,0.0,0.004235
71494,0.0,0.004235
71626,6.465648854961833,0.005082
71627,0.0,0.005929
74289,0.0,0.005929
74326,23.52777777777778,0.006776
74350,35.291666666666664,0.007623
74372,38.5,0.00847
74391,44.578947368421055,0.009317
74406,56.46666666666667,0.010164
74421,56.46666666666667,0.011011
74437,52.9375,0.011858
74451,60.5,0.012705
74466,56.46666666666667,0.013552
74481,56.46666666666667,0.014399
74496,56.46666666666667,0.015246
74511,56.46666666666667,0.016093
74528,49.8235294117647,0.01694
74545,49.8235294117647,0.017787
74562,49.8235294117647,0.018634
74580,47.05555555555556,0.019481
74597,49.8235294117647,0.020328
74615,47.05555555555556,0.021175
74634,44.578947368421055,0.022022
74652,47.05555555555556,0.022869
74670,47.05555555555556,0.023716
74689,44.578947368421055,0.024562999999999998
74706,49.8235294117647,0.02541
74723,49.8235294117647,0.026257
74742,44.578947368421055,0.027104
74759,49.8235294117647,0.027951
74777,47.05555555555556,0.028798
74795,47.05555555555556,0.029645
74812,49.8235294117647,0.030492
74830,47.05555555555556,0.031339
74847,49.8235294117647,0.032186
74865,47.05555555555556,0.033033
74883,47.05555555555556,0.03388
74902,44.578947368421055,0.034727
74920,47.05555555555556,0.035574
74938,47.05555555555556,0.036421
74957,44.578947368421055,0.037268
74975,47.05555555555556,0.038114999999999996
74993,47.05555555555556,0.038962
75012,44.578947368421055,0.039809
75030,47.05555555555556,0.040656
75048,47.05555555555556,0.041503
75067,44.578947368421055,0.04235
75085,47.05555555555556,0.043197
75103,47.05555555555556,0.044044
75121,47.05555555555556,0.044891
75139,47.05555555555556,0.045738
75157,47.05555555555556,0.046585
75176,44.578947368421055,0.047432
75193,49.8235294117647,0.048279
75211,47.05555555555556,0.049125999999999996
75229,47.05555555555556,0.049973
75247,47.05555555555556,0.05082
75265,47.05555555555556,0.051667
75283,47.05555555555556,0.052514
75300,49.8235294117647,0.053361
75318,47.05555555555556,0.054208
75337,44.578947368421055,0.055055
75354,49.8235294117647,0.055902
75372,47.05555555555556,0.056749
75390,47.05555555555556,0.057596
75408,47.05555555555556,0.058443
75426,47.05555555555556,0.05929
75445,44.578947368421055,0.060136999999999996
75463,47.05555555555556,0.060984
75481,47.05555555555556,0.061831
75499,47.05555555555556,0.062678
75516,49.8235294117647,0.063525
75535,44.578947368421055,0.064372
75554,44.578947368421055,0.065219
75571,49.8235294117647,0.066066
75590,44.578947368421055,0.066913
75608,47.05555555555556,0.06776
75626,47.05555555555556,0.068607
75644,47.05555555555556,0.069454
75663,44.578947368421055,0.070301
75680,49.8235294117647,0.071148
75698,47.05555555555556,0.071995
75717,44.578947368421055,0.072842
75735,47.05555555555556,0.073689
75752,49.8235294117647,0.074536
75771,44.578947368421055,0.075383
75789,47.05555555555556,0.07622999999999999
75807,47.05555555555556,0.07707699999999999
75825,47.05555555555556,0.077924
75843,47.05555555555556,0.078771
75860,49.8235294117647,0.079618
75879,44.578947368421055,0.080465
75897,47.05555555555556,0.081312
75915,47.05555555555556,0.082159
75933,47.05555555555556,0.083006
75951,47.05555555555556,0.083853
75970,44.578947368421055,0.0847
75988,47.05555555555556,0.085547
76006,47.05555555555556,0.086394
76027,40.33333333333333,0.087241
76054,31.370370370370367,0.088088
76084,28.233333333333334,0.088935
76121,22.89189189189189,0.089782
76233,7.5625,0.090629
76234,0.0,0.091476
164684,0.0,0.091476
164714,29.206896551724142,0.092323
164740,32.57692307692307,0.09317
164762,38.5,0.094017
164782,42.35,0.094864
164801,44.578947368421055,0.095711
164819,47.05555555555556,0.096558
164838,44.578947368421055,0.097405
164856,47.05555555555556,0.09825199999999999
164874,47.05555555555556,0.09909899999999999
164894,42.35,0.099946
164914,42.35,0.100793
164934,42.35,0.10164
164955,40.33333333333333,0.102487
164977,38.5,0.103334
164996,44.578947368421055,0.104181
165017,40.33333333333333,0.105028
165037,42.35,0.105875
165055,47.05555555555556,0.106722
165073,47.05555555555556,0.107569
165092,44.578947368421055,0.108416
165109,49.8235294117647,0.109263
165127,47.05555555555556,0.11011
165145,47.05555555555556,0.110957
165162,49.8235294117647,0.111804
165179,49.8235294117647,0.112651
165197,47.05555555555556,0.113498
165213,52.9375,0.114345
165230,49.8235294117647,0.115192
165248,47.05555555555556,0.116039
165265,49.8235294117647,0.116886
165282,49.8235294117647,0.117733
165300,47.05555555555556,0.11858
165316,52.9375,0.11942699999999999
165333,49.8235294117647,0.12027399999999999
165350,49.8235294117647,0.12112099999999999
165367,49.8235294117647,0.121968
165384,49.8235294117647,0.122815
165402,47.05555555555556,0.123662
165418,52.9375,0.124509
165435,49.8235294117647,0.125356
165453,47.05555555555556,0.126203
165470,49.8235294117647,0.12705
165487,49.8235294117647,0.127897
165505,47.05555555555556,0.128744
165522,49.8235294117647,0.129591
165540,47.05555555555556,0.130438
165558,47.05555555555556,0.13128499999999999
165576,47.05555555555556,0.132132
165594,47.05555555555556,0.13297899999999999
165612,47.05555555555556,0.133826
165629,49.8235294117647,0.134673
165647,47.05555555555556,0.13552
165666,44.578947368421055,0.136367
